date,market,stock_no,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,foreign_total_buy,foreign_total_sell,foreign_total_net,investment_trust_buy,investment_trust_sell,investment_trust_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,dealer_total_buy,dealer_total_sell,dealer_total_net,overall_net
2025-11-10,TWSE,1102,亞泥,5769000,1756000,4013000,0,0,0,5769000,1756000,4013000,120048,346000,-225952,33000,6000,27000,62283,2022,60261,95283,8022,87261,3874309
2025-11-10,TWSE,2027,大成鋼,4732576,1122106,3610470,0,0,0,4732576,1122106,3610470,0,60000,-60000,139180,54227,84953,117391,79000,38391,256571,133227,123344,3673814
2025-11-10,TWSE,1101,台泥,7447603,4059055,3388548,0,0,0,7447603,4059055,3388548,0,0,0,207000,120000,87000,102469,154017,-51548,309469,274017,35452,3424000
2025-11-10,TWSE,1303,南亞,17839985,16106080,1733905,0,0,0,17839985,16106080,1733905,7078,0,7078,1148142,811334,336808,2953814,1653907,1299907,4101956,2465241,1636715,3377698
2025-11-10,TWSE,00922,國泰台灣領袖50,69154,44000,25154,0,0,0,69154,44000,25154,0,0,0,0,0,0,4707467,1358156,3349311,4707467,1358156,3349311,3374465
2025-11-10,TWSE,2890,永豐金,15028657,12522183,2506474,0,0,0,15028657,12522183,2506474,886606,446000,440606,148000,212,147788,222519,62252,160267,370519,62464,308055,3255135
2025-11-10,TWSE,009801,中信美國創新科技,1524170,61000,1463170,0,0,0,1524170,61000,1463170,0,0,0,0,0,0,3894001,2104177,1789824,3894001,2104177,1789824,3252994
2025-11-10,TWSE,9907,統一實,5184000,2147000,3037000,0,0,0,5184000,2147000,3037000,0,0,0,115000,0,115000,76365,1,76364,191365,1,191364,3228364
2025-11-10,TWSE,3037,欣興,9862904,7249350,2613554,0,0,0,9862904,7249350,2613554,249302,0,249302,337401,491821,-154420,602050,96419,505631,939451,588240,351211,3214067
2025-11-10,TWSE,2421,建準,14007291,11277319,2729972,0,0,0,14007291,11277319,2729972,0,0,0,445611,248364,197247,271225,396028,-124803,716836,644392,72444,2802416
2025-11-10,TWSE,4763,材料*-KY,3634930,1550002,2084928,0,0,0,3634930,1550002,2084928,70000,0,70000,13000,18000,-5000,701768,58016,643752,714768,76016,638752,2793680
2025-11-10,TWSE,00663L,國泰臺灣加權正2,299000,120000,179000,0,0,0,299000,120000,179000,0,0,0,0,0,0,3612611,1057239,2555372,3612611,1057239,2555372,2734372
2025-11-10,TWSE,2382,廣達,6180263,3728980,2451283,0,0,0,6180263,3728980,2451283,190430,25000,165430,93044,81129,11915,105665,369,105296,198709,81498,117211,2733924
2025-11-10,TWSE,2449,京元電子,10086360,9440086,646274,0,0,0,10086360,9440086,646274,1591000,125000,1466000,353156,163749,189407,748682,343934,404748,1101838,507683,594155,2706429
2025-11-10,TWSE,1402,遠東新,5952609,2289739,3662870,0,0,0,5952609,2289739,3662870,0,69000,-69000,51000,902099,-851099,18000,57000,-39000,69000,959099,-890099,2703771
2025-11-10,TWSE,00927,群益半導體收益,1320000,69000,1251000,0,0,0,1320000,69000,1251000,0,0,0,0,0,0,2371566,941313,1430253,2371566,941313,1430253,2681253
2025-11-10,TWSE,00985B,群益ESG投等債0-5,0,4186000,-4186000,0,0,0,0,4186000,-4186000,0,0,0,0,0,0,9437000,2691369,6745631,9437000,2691369,6745631,2559631
2025-11-10,TWSE,00984A,主動安聯台灣高息,463000,302000,161000,0,0,0,463000,302000,161000,0,0,0,0,150000,-150000,2995878,483186,2512692,2995878,633186,2362692,2523692
2025-11-10,TWSE,2409,友達,16124511,13790652,2333859,0,0,0,16124511,13790652,2333859,66065,30000,36065,65000,130000,-65000,79000,78442,558,144000,208442,-64442,2305482
2025-11-10,TWSE,00961,FT臺灣永續高息,1521000,571000,950000,0,0,0,1521000,571000,950000,0,0,0,0,0,0,2415371,1115119,1300252,2415371,1115119,1300252,2250252
2025-11-10,TWSE,3673,TPK-KY,4159000,2495000,1664000,0,0,0,4159000,2495000,1664000,0,0,0,303240,62430,240810,202178,29627,172551,505418,92057,413361,2077361
2025-11-10,TWSE,00904,新光臺灣半導體30,66000,75000,-9000,0,0,0,66000,75000,-9000,0,0,0,0,0,0,2584574,561582,2022992,2584574,561582,2022992,2013992
2025-11-10,TWSE,00941,中信上游半導體,3330000,0,3330000,0,0,0,3330000,0,3330000,0,0,0,0,0,0,1961342,3340798,-1379456,1961342,3340798,-1379456,1950544
2025-11-10,TWSE,00945B,凱基美國非投等債,2843000,0,2843000,0,0,0,2843000,0,2843000,0,0,0,0,0,0,2638000,3578294,-940294,2638000,3578294,-940294,1902706
2025-11-10,TWSE,2368,金像電,6641925,5254599,1387326,0,0,0,6641925,5254599,1387326,959000,6000,953000,130000,215000,-85000,284384,648352,-363968,414384,863352,-448968,1891358
2025-11-10,TWSE,2498,宏達電,4748000,3188693,1559307,0,0,0,4748000,3188693,1559307,0,0,0,41011,52000,-10989,301641,50687,250954,342652,102687,239965,1799272
2025-11-10,TWSE,1504,東元,13951030,10700981,3250049,0,0,0,13951030,10700981,3250049,11634,1175000,-1163366,242772,449471,-206699,201833,317800,-115967,444605,767271,-322666,1764017
2025-11-10,TWSE,2634,漢翔,3174010,1556000,1618010,0,0,0,3174010,1556000,1618010,2000,0,2000,176173,73000,103173,38000,84392,-46392,214173,157392,56781,1676791
2025-11-10,TWSE,00902,中信電池及儲能,90000,143000,-53000,0,0,0,90000,143000,-53000,0,0,0,0,0,0,4413430,2746876,1666554,4413430,2746876,1666554,1613554
2025-11-10,TWSE,2855,統一證,2453200,862063,1591137,0,0,0,2453200,862063,1591137,0,0,0,0,0,0,0,0,0,0,0,0,1591137
2025-11-10,TWSE,00947,台新臺灣IC設計,2708000,82000,2626000,0,0,0,2708000,82000,2626000,0,0,0,0,0,0,1094072,2215943,-1121871,1094072,2215943,-1121871,1504129
2025-11-10,TWSE,00693U,期街口S&P黃豆,0,24000,-24000,0,0,0,0,24000,-24000,0,0,0,28000,0,28000,1669495,180030,1489465,1697495,180030,1517465,1493465
2025-11-10,TWSE,2731,雄獅,1762000,396000,1366000,0,0,0,1762000,396000,1366000,0,0,0,19270,1000,18270,116890,25235,91655,136160,26235,109925,1475925
2025-11-10,TWSE,00713,元大台灣高息低波,178513,796000,-617487,0,0,0,178513,796000,-617487,0,243000,-243000,0,0,0,2577000,347210,2229790,2577000,347210,2229790,1369303
2025-11-10,TWSE,2105,正新,7483000,5838000,1645000,0,0,0,7483000,5838000,1645000,13376,417000,-403624,98000,53505,44495,76001,144,75857,174001,53649,120352,1361728
2025-11-10,TWSE,2369,菱生,3491000,2247154,1243846,0,0,0,3491000,2247154,1243846,0,0,0,49000,5000,44000,63870,62849,1021,112870,67849,45021,1288867
2025-11-10,TWSE,1440,南紡,2204001,932000,1272001,0,0,0,2204001,932000,1272001,0,0,0,52008,37000,15008,0,0,0,52008,37000,15008,1287009
2025-11-10,TWSE,00985A,主動野村台灣50,524000,377000,147000,0,0,0,524000,377000,147000,0,0,0,0,20000,-20000,2627218,1506515,1120703,2627218,1526515,1100703,1247703
2025-11-10,TWSE,2882,國泰金,10300956,9731304,569652,0,0,0,10300956,9731304,569652,614048,0,614048,209000,310000,-101000,438033,301532,136501,647033,611532,35501,1219201
2025-11-10,TWSE,009802,富邦旗艦50,351050,40000,311050,0,0,0,351050,40000,311050,0,0,0,0,0,0,2415000,1514797,900203,2415000,1514797,900203,1211253
2025-11-10,TWSE,00642U,期元大S&P石油,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,1372928,170165,1202763,1374928,170165,1204763,1204763
2025-11-10,TWSE,00929,復華台灣科技優息,1375029,4623000,-3247971,0,0,0,1375029,4623000,-3247971,0,0,0,0,0,0,6039172,1612539,4426633,6039172,1612539,4426633,1178662
2025-11-10,TWSE,2327,國巨*,12590379,10552564,2037815,0,0,0,12590379,10552564,2037815,20351,408000,-387649,256000,497300,-241300,259953,514757,-254804,515953,1012057,-496104,1154062
2025-11-10,TWSE,2457,飛宏,1868000,917000,951000,0,0,0,1868000,917000,951000,0,0,0,179000,27549,151451,31198,8280,22918,210198,35829,174369,1125369
2025-11-10,TWSE,2441,超豐,2987000,1617011,1369989,0,0,0,2987000,1617011,1369989,0,361000,-361000,106385,78732,27653,47000,31000,16000,153385,109732,43653,1052642
2025-11-10,TWSE,2439,美律,1623000,557000,1066000,0,0,0,1623000,557000,1066000,0,900,-900,10000,6803,3197,4000,19836,-15836,14000,26639,-12639,1052461
2025-11-10,TWSE,8033,雷虎,2212485,1153400,1059085,0,0,0,2212485,1153400,1059085,0,0,0,10969,5422,5547,21000,34493,-13493,31969,39915,-7946,1051139
2025-11-10,TWSE,2367,燿華,1446000,401000,1045000,0,0,0,1446000,401000,1045000,0,0,0,15000,4223,10777,3000,11037,-8037,18000,15260,2740,1047740
2025-11-10,TWSE,1717,長興,1523000,410900,1112100,0,0,0,1523000,410900,1112100,0,0,0,24433,111505,-87072,0,8000,-8000,24433,119505,-95072,1017028
2025-11-10,TWSE,9933,中鼎,2984407,1971000,1013407,0,0,0,2984407,1971000,1013407,0,0,0,9073,8000,1073,0,0,0,9073,8000,1073,1014480
2025-11-10,TWSE,2412,中華電,2005272,1370693,634579,0,0,0,2005272,1370693,634579,255835,19000,236835,64000,0,64000,72152,5932,66220,136152,5932,130220,1001634
2025-11-10,TWSE,2881,富邦金,7950186,8168426,-218240,0,0,0,7950186,8168426,-218240,820825,0,820825,422375,8000,414375,223609,255906,-32297,645984,263906,382078,984663
2025-11-10,TWSE,2313,華通,7823000,4489100,3333900,0,0,0,7823000,4489100,3333900,2000,2439000,-2437000,347176,352556,-5380,108433,19627,88806,455609,372183,83426,980326
2025-11-10,TWSE,00651R,復華香港反1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065799,157929,907870,1065799,157929,907870,907870
2025-11-10,TWSE,00738U,期元大道瓊白銀,140000,46000,94000,0,0,0,140000,46000,94000,0,0,0,0,0,0,2006789,1196046,810743,2006789,1196046,810743,904743
2025-11-10,TWSE,00915,凱基優選高股息30,33045,31000,2045,0,0,0,33045,31000,2045,0,0,0,0,0,0,2238400,1344307,894093,2238400,1344307,894093,896138
2025-11-10,TWSE,4916,事欣科,1269000,356000,913000,0,0,0,1269000,356000,913000,0,0,0,1000,20000,-19000,7000,11284,-4284,8000,31284,-23284,889716
2025-11-10,TWSE,8150,南茂,6522000,6440908,81092,0,0,0,6522000,6440908,81092,0,0,0,171000,75899,95101,799374,116976,682398,970374,192875,777499,858591
2025-11-10,TWSE,3026,禾伸堂,1541000,635000,906000,0,0,0,1541000,635000,906000,0,0,0,3000,40000,-37000,8000,22449,-14449,11000,62449,-51449,854551
2025-11-10,TWSE,3017,奇鋐,3490686,2758005,732681,0,0,0,3490686,2758005,732681,25057,28000,-2943,168700,92574,76126,105969,77728,28241,274669,170302,104367,834105
2025-11-10,TWSE,3443,創意,1689970,1561304,128666,0,0,0,1689970,1561304,128666,558631,1000,557631,90900,45100,45800,273211,195607,77604,364111,240707,123404,809701
2025-11-10,TWSE,00936,台新永續高息中小,800000,15000,785000,0,0,0,800000,15000,785000,0,0,0,0,0,0,616189,592595,23594,616189,592595,23594,808594
2025-11-10,TWSE,2363,矽統,1846000,1020000,826000,0,0,0,1846000,1020000,826000,0,0,0,12224,38166,-25942,16156,12755,3401,28380,50921,-22541,803459
2025-11-10,TWSE,6005,群益證,4542000,3677000,865000,0,0,0,4542000,3677000,865000,0,72000,-72000,0,0,0,0,0,0,0,0,0,793000
2025-11-10,TWSE,4919,新唐,1358500,581476,777024,0,0,0,1358500,581476,777024,0,0,0,45000,23812,21188,1981,9809,-7828,46981,33621,13360,790384
2025-11-10,TWSE,3010,華立,1629000,712129,916871,0,0,0,1629000,712129,916871,0,169000,-169000,2000,1000,1000,36277,2000,34277,38277,3000,35277,783148
2025-11-10,TWSE,8070,長華*,1691000,930000,761000,0,0,0,1691000,930000,761000,0,0,0,8000,19000,-11000,10831,3100,7731,18831,22100,-3269,757731
2025-11-10,TWSE,1605,華新,14183650,12774814,1408836,0,0,0,14183650,12774814,1408836,33670,0,33670,830000,658000,172000,213002,1074290,-861288,1043002,1732290,-689288,753218
2025-11-10,TWSE,2303,聯電,16031963,15239765,792198,0,0,0,16031963,15239765,792198,472085,336400,135685,321000,183000,138000,210654,574848,-364194,531654,757848,-226194,701689
2025-11-10,TWSE,00752,中信中國50,360000,35000,325000,0,0,0,360000,35000,325000,0,0,0,0,0,0,666076,293969,372107,666076,293969,372107,697107
2025-11-10,TWSE,2362,藍天,828000,174000,654000,0,0,0,828000,174000,654000,0,0,0,16000,1000,15000,6505,6049,456,22505,7049,15456,669456
2025-11-10,TWSE,4722,國精化,1245000,447000,798000,0,0,0,1245000,447000,798000,0,0,0,22067,15267,6800,8000,148000,-140000,30067,163267,-133200,664800
2025-11-10,TWSE,8996,高力,2268332,1709000,559332,0,0,0,2268332,1709000,559332,140000,11000,129000,50123,63468,-13345,17000,31000,-14000,67123,94468,-27345,660987
2025-11-10,TWSE,2645,長榮航太,953005,558487,394518,0,0,0,953005,558487,394518,270000,0,270000,3013,17000,-13987,11876,6886,4990,14889,23886,-8997,655521
2025-11-10,TWSE,00923,群益台ESG低碳50,47100,53000,-5900,0,0,0,47100,53000,-5900,0,0,0,0,0,0,1835367,1175801,659566,1835367,1175801,659566,653666
2025-11-10,TWSE,2478,大毅,1059000,472000,587000,0,0,0,1059000,472000,587000,0,0,0,24000,0,24000,15037,3001,12036,39037,3001,36036,623036
2025-11-10,TWSE,00986A,主動台新龍頭成長,2368000,30000,2338000,0,0,0,2368000,30000,2338000,0,0,0,0,0,0,515000,2232251,-1717251,515000,2232251,-1717251,620749
2025-11-10,TWSE,1409,新纖,1044001,457000,587001,0,0,0,1044001,457000,587001,0,0,0,23000,0,23000,1112,2290,-1178,24112,2290,21822,608823
2025-11-10,TWSE,1904,正隆,717001,113215,603786,0,0,0,717001,113215,603786,0,0,0,20000,16000,4000,0,0,0,20000,16000,4000,607786
2025-11-10,TWSE,00894,中信小資高價30,91100,63000,28100,0,0,0,91100,63000,28100,0,0,0,9000,0,9000,911557,345873,565684,920557,345873,574684,602784
2025-11-10,TWSE,1316,上曜,1078000,485000,593000,0,0,0,1078000,485000,593000,0,0,0,0,0,0,0,0,0,0,0,0,593000
2025-11-10,TWSE,3665,貿聯-KY,1640731,1671507,-30776,0,0,0,1640731,1671507,-30776,510000,0,510000,90999,6109,84890,91519,63156,28363,182518,69265,113253,592477
2025-11-10,TWSE,00905,FT臺灣Smart,43169,28000,15169,0,0,0,43169,28000,15169,0,0,0,0,0,0,1073323,499364,573959,1073323,499364,573959,589128
2025-11-10,TWSE,1720,生達,616000,39000,577000,0,0,0,616000,39000,577000,0,0,0,6155,0,6155,0,0,0,6155,0,6155,583155
2025-11-10,TWSE,00983D,主動富邦複合收益,38000,0,38000,0,0,0,38000,0,38000,0,0,0,0,0,0,1911000,1368402,542598,1911000,1368402,542598,580598
2025-11-10,TWSE,2352,佳世達,1585000,1111282,473718,0,0,0,1585000,1111282,473718,3000,6000,-3000,75000,0,75000,47286,14142,33144,122286,14142,108144,578862
2025-11-10,TWSE,00700,富邦恒生國企,92000,0,92000,0,0,0,92000,0,92000,0,0,0,0,0,0,846297,372486,473811,846297,372486,473811,565811
2025-11-10,TWSE,4142,國光生,1002000,475000,527000,0,0,0,1002000,475000,527000,0,0,0,28144,0,28144,0,0,0,28144,0,28144,555144
2025-11-10,TWSE,00674R,期元大S&P黃金反1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888400,334908,553492,888400,334908,553492,553492
2025-11-10,TWSE,3032,偉訓,805000,418000,387000,0,0,0,805000,418000,387000,0,0,0,0,0,0,172032,7294,164738,172032,7294,164738,551738
2025-11-10,TWSE,3033,威健,591000,60000,531000,0,0,0,591000,60000,531000,0,0,0,4000,0,4000,403,0,403,4403,0,4403,535403
2025-11-10,TWSE,6271,同欣電,1378000,911501,466499,0,0,0,1378000,911501,466499,16000,0,16000,29000,42590,-13590,72758,7831,64927,101758,50421,51337,533836
2025-11-10,TWSE,00963,中信全球高股息,350000,0,350000,0,0,0,350000,0,350000,0,0,0,0,0,0,2114000,1936182,177818,2114000,1936182,177818,527818
2025-11-10,TWSE,2897,王道銀行,1353000,864354,488646,0,0,0,1353000,864354,488646,0,0,0,34000,0,34000,0,0,0,34000,0,34000,522646
2025-11-10,TWSE,1711,永光,796000,276000,520000,0,0,0,796000,276000,520000,0,0,0,0,0,0,330,0,330,330,0,330,520330
2025-11-10,TWSE,00983A,主動中信ARK創新,5156000,156000,5000000,0,0,0,5156000,156000,5000000,0,0,0,0,0,0,1535093,6016860,-4481767,1535093,6016860,-4481767,518233
